Taluka,District,Latitude,Longitude
Ahmedabad City,Ahmedabad,23.0215374,72.5800568
Bavla,Ahmedabad,22.8278859,72.3684741
Daskroi,Ahmedabad,22.9538235,72.7502756
Detroj-Rampura,Ahmedabad,23.3291312,72.1639025
Dhandhuka,Ahmedabad,22.3816365,71.9791414
Dholera,Ahmedabad,22.2495856,72.1959892
Dholka,Ahmedabad,22.726607,72.4411863
Mandal,Ahmedabad,23.2883831,71.9178854
Sanand,Ahmedabad,23.0238876,72.3851475
Viramgam,Ahmedabad,23.1224522,72.0483946
Amreli,Amreli,21.6009239,71.2168014
Babra,Amreli,21.8485451,71.3036656
Bagasara,Amreli,21.4857835,70.9559406
Dhari,Amreli,21.3280712,71.0262213
Jafrabad,Amreli,20.8665451,71.3648229
Khambha,Amreli,21.1410665,71.2537125
Kunkavav vadia,Amreli,21.6997837,70.966385
Lathi,Amreli,21.724718,71.3899959
Lilia,Amreli,21.5405819,71.392995
Rajula,Amreli,21.038617,71.4438845
Savarkundla,Amreli,21.3355059,71.3130864
Anand,Anand,22.5586555,72.9627227
Anklav,Anand,22.3775417,73.0021216
Borsad,Anand,22.4094019,72.905252
Khambhat,Anand,22.3166806,72.6243126
Petlad,Anand,22.4770467,72.8003365
Sojitra,Anand,22.5391166,72.7192782
Tarapur,Anand,22.4882996,72.6576842
Umreth,Anand,22.6990518,73.115045
Bayad,Aravalli,23.2248593,73.2153042
Bhiloda,Aravalli,23.768877,73.2479027
Dhansura,Aravalli,23.3467,73.2054
Malpur,Aravalli,23.3594332,73.4649753
Meghraj,Aravalli,23.5219981,73.5486403
Modasa,Aravalli,23.4634245,73.2990631
Amirgadh,Banaskantha,24.4060517,72.6411054
Danta,Banaskantha,24.187557,72.7649516
Dantiwada,Banaskantha,24.3239388,72.3255763
Deesa,Banaskantha,24.2594977,72.1803348
Deodar,Banaskantha,24.1920148,71.7893701
Dhanera,Banaskantha,24.5036694,72.0325116
Kankrej,Banaskantha,24.0387783,71.9411013
Lakhani,Banaskantha,,
Palanpur,Banaskantha,24.1709794,72.4366375
Suigam,Banaskantha,24.1515492,71.3593406
Tharad,Banaskantha,24.3897272,71.6292685
Vadgam,Banaskantha,24.0782271,72.4891682
Vav,Banaskantha,24.363947,71.5123139
Amod,Bharuch,21.9907832,72.8706259
Ankleshwar,Bharuch,21.6293206,72.9945103
Bharuch,Bharuch,21.7080427,72.9956936
Hansot,Bharuch,21.5858279,72.8101435
Jambusar,Bharuch,22.0514367,72.8069758
Jhagadia,Bharuch,21.7157199,73.1497026
Netrang,Bharuch,21.6395746,73.3661964
Vagra,Bharuch,21.8447606,72.8448749
Valia,Bharuch,21.5711115,73.1608821
Bhavnagar,Bhavnagar,21.7718836,72.1416449
Gariadhar,Bhavnagar,21.5385705,71.5792958
Ghogha,Bhavnagar,21.6874043,72.2761717
Jesar,Bhavnagar,21.3699105,71.6684114
Mahuva,Bhavnagar,21.0914409,71.7621979
Palitana,Bhavnagar,21.5236104,71.8219597
Sihor,Bhavnagar,21.720494,71.9605587
Talaja,Bhavnagar,21.3545788,72.0368814
Umrala,Bhavnagar,21.8437449,71.8049299
Vallabhipur,Bhavnagar,21.8885909,71.8781618
Barwala,Botad,22.1518623,71.8957058
Botad,Botad,22.1686,71.6685
Gadhada,Botad,21.9682625,71.5769241
Ranpur,Botad,22.3598858,71.7169084
Bodeli,Chhota Udaipur,22.269829,73.7161432
Chhota Udaipur,Chhota Udaipur,22.3148736,74.0141067
Jetpur pavi,Chhota Udaipur,22.3462548,73.8416216
Kavant,Chhota Udaipur,22.0905805,74.034369
Nasvadi,Chhota Udaipur,22.0435079,73.7270058
Sankheda,Chhota Udaipur,22.1716283,73.5797953
Dahod,Dahod,22.8358786,74.2556823
Devgadh baria,Dahod,22.7014918,73.9088415
Dhanpur,Dahod,22.6367611,74.098681
Fatepura,Dahod,,
Garbada,Dahod,22.684669,74.3132146
Jhalod,Dahod,23.1006273,74.1560018
Limkheda,Dahod,22.834878,73.9846526
Sanjeli,Dahod,23.0583328,73.9710668
Singvad,Dahod,22.9618608,73.9617848
Ahwa,Dang,20.7587262,73.6873533
Subir,Dang,20.9287346,73.7737942
Waghai,Dang,20.7725583,73.5003524
Bhanvad,Devbhoomi Dwarka,21.929372,69.784879
Kalyanpur,Devbhoomi Dwarka,22.0191542,69.4040951
Khambhalia,Devbhoomi Dwarka,22.2111007,69.6473426
Okhamandal,Devbhoomi Dwarka,,
Dehgam,Gandhinagar,23.1640326,72.8818319
Gandhinagar,Gandhinagar,23.2232877,72.6492267
Kalol,Gandhinagar,23.2452165,72.4966223
Mansa,Gandhinagar,23.425103,72.6583024
Gir-Gadhada,Gir Somnath,20.9225185,70.9190462
Kodinar,Gir Somnath,20.7971703,70.6957211
Sutrapada,Gir Somnath,20.8428692,70.4799081
Talala,Gir Somnath,21.0560298,70.5303798
Una,Gir Somnath,20.8198898,71.0391641
Veraval,Gir Somnath,20.9101099,70.365279
Dhrol,Jamnagar,22.5675674,70.4164394
Jamjodhpur,Jamnagar,21.9329709,70.0297614
Jamnagar,Jamnagar,22.4732415,70.0552102
Jodiya,Jamnagar,22.6925104,70.3054102
Kalavad,Jamnagar,22.2143736,70.3834253
Lalpur,Jamnagar,22.1915377,69.963963
Bhesana,Junagadh,,
Junagadh City,Junagadh,21.5220416,70.4582458
Junagadh Rural,Junagadh,,
Keshod,Junagadh,21.3148629,70.2678937
Malia-Hatina,Junagadh,,
Manavadar,Junagadh,21.4979645,70.1406499
Mangrol,Junagadh,21.1241507,70.1199203
Mendarda,Junagadh,21.3232985,70.4425757
Vanthali,Junagadh,21.4772602,70.3321207
Visavadar,Junagadh,21.3417058,70.7534299
Galteshwar,Kheda,22.8686619,73.3084119
Kapadvanj,Kheda,23.0232402,73.0727531
Kathlal,Kheda,22.8985648,72.9908519
Kheda,Kheda,22.7516133,72.6857205
Mahudha,Kheda,22.8201982,72.9386868
Matar,Kheda,22.7073839,72.6623162
Mehmedabad,Kheda,22.8621774,72.7957815
Nadiad,Kheda,22.6895535,72.8713603
Thasra,Kheda,22.7977449,73.2207334
Vaso,Kheda,22.6609576,72.7553379
Abdasa,Kutch,23.2576703,68.8854644
Anjar,Kutch,23.1194278,70.0363797
Bhachau,Kutch,23.3040626,70.3507333
Bhuj,Kutch,23.2472446,69.668339
Gandhidham,Kutch,23.0718743,70.131715
Lakhpat,Kutch,23.8268882,68.7751578
Mandvi,Kutch,22.8314482,69.35081
Mundra,Kutch,22.8393153,69.7249477
Nakhatrana,Kutch,23.3495267,69.2653851
Rapar,Kutch,23.570746,70.6450466
Balasinor,Mahisagar,22.9561711,73.3370129
Kadana,Mahisagar,23.289682,73.8380384
Khanpur,Mahisagar,23.3263907,73.6238021
